 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 24-Ma | 08:38 |SCVCD-NEW-tratest/1_2_00028_592x1280.yuv|  150 |  0/0  | 42 | 42 | 42 | 592x1280|   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 30.781| 44.183| 41.708| 30.360| 43.513| 40.887| 110912|  37093|      0|   148043|       21223628   |       20978408   |
| 19.0/(FRExt)| 26-Ma | 20:32 |CVCD-NEW-tratest/1_2_00103_1440x3114.yuv|  255 |  0/0  | 22 | 22 | 22 |1440x3114|   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 50.063| 54.617| 55.054| 49.291| 53.888| 54.403|1072988|5578012|      0|  6651025|      215655654   |      213052189   |
| 19.0/(FRExt)| 29-Ma | 09:02 |CVCD-NEW-tratest/1_2_00103_1440x3114.yuv|  255 |  0/0  | 27 | 27 | 27 |1440x3114|   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 46.509| 51.970| 52.916| 45.877| 51.271| 52.234| 686768|2685416|      0|  3372208|      217721961   |      215171338   |
| 19.0/(FRExt)| 01-Ap | 00:44 |CVCD-NEW-tratest/1_2_00103_1440x3114.yuv|  255 |  0/0  | 32 | 32 | 32 |1440x3114|   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 42.661| 49.800| 51.058| 42.198| 49.182| 50.355| 450318|1573104|      0|  2023447|      229276817   |      226646692   |
| 19.0/(FRExt)| 03-Ap | 13:10 |CVCD-NEW-tratest/1_2_00103_1440x3114.yuv|  255 |  0/0  | 37 | 37 | 37 |1440x3114|   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 39.090| 47.524| 48.635| 38.780| 46.977| 48.121| 304849| 887757|      0|  1192631|      217504055   |      215027585   |
| 19.0/(FRExt)| 06-Ap | 03:17 |CVCD-NEW-tratest/1_2_00103_1440x3114.yuv|  255 |  0/0  | 42 | 42 | 42 |1440x3114|   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 35.248| 44.881| 45.938| 35.246| 44.394| 45.629| 202486| 646626|      0|   849136|      223630025   |      221073765   |
| 19.0/(FRExt)| 06-Ap | 06:52 |/SCVCD-NEW-tratest/2_1_00115_511x912.yuv|  150 |  0/0  | 22 | 22 | 22 | 511x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 42.629| 45.758| 45.812| 42.008| 45.159| 45.243|1029891|7747604|      0|  8777536|       12834032   |       12575956   |
| 19.0/(FRExt)| 06-Ap | 10:25 |/SCVCD-NEW-tratest/2_1_00115_511x912.yuv|  150 |  0/0  | 27 | 27 | 27 | 511x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 38.426| 42.549| 42.416| 37.792| 42.088| 41.943| 642480|3707621|      0|  4350140|       12826679   |       12606375   |
| 19.0/(FRExt)| 06-Ap | 13:55 |/SCVCD-NEW-tratest/2_1_00115_511x912.yuv|  150 |  0/0  | 32 | 32 | 32 | 511x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 34.442| 40.138| 39.882| 33.717| 39.635| 39.294| 393480|1674614|      0|  2068134|       12578661   |       12382037   |
| 19.0/(FRExt)| 06-Ap | 17:30 |/SCVCD-NEW-tratest/2_1_00115_511x912.yuv|  150 |  0/0  | 37 | 37 | 37 | 511x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 30.897| 38.085| 37.737| 30.175| 37.500| 37.011| 234376| 733760|      0|   968176|       12924583   |       12736655   |
